"filename", "language", "PHP", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"z:\Projects\mstender\backend\app\Helpers\LeadAccess.php", "PHP", 17, 0, 0, 0, 4, 21
"z:\Projects\mstender\backend\app\Http\Controllers\DashboardController.php", "PHP", -67, 0, 0, 15, 5, -47
"z:\Projects\mstender\backend\app\Http\Controllers\InvoiceController.php", "PHP", 0, 0, 0, 0, -1, -1
"z:\Projects\mstender\backend\app\Http\Controllers\LeadActivityController.php", "PHP", 10, 0, 0, -20, -2, -12
"z:\Projects\mstender\backend\app\Http\Controllers\LeadController.php", "PHP", 94, 0, 0, 155, 112, 361
"z:\Projects\mstender\backend\app\Http\Controllers\LeadNoteCommentController.php", "PHP", 38, 0, 0, 15, 12, 65
"z:\Projects\mstender\backend\app\Http\Controllers\LeadNoteController.php", "PHP", 54, 0, 0, 20, 15, 89
"z:\Projects\mstender\backend\app\Http\Controllers\PipelineController.php", "PHP", 68, 0, 0, 25, 21, 114
"z:\Projects\mstender\backend\app\Http\Controllers\PipelineStageController.php", "PHP", -21, 0, 0, 0, -5, -26
"z:\Projects\mstender\backend\app\Models\Lead.php", "PHP", 16, 0, 0, 0, 3, 19
"z:\Projects\mstender\backend\app\Models\Pipeline.php", "PHP", 8, 0, 0, 0, 3, 11
"z:\Projects\mstender\backend\app\Models\User.php", "PHP", 12, 0, 0, 0, 3, 15
"z:\Projects\mstender\backend\database\factories\CustomerFactory.php", "PHP", -1, 0, 0, 1, 0, 0
"z:\Projects\mstender\backend\database\migrations\2026_05_04_053545_create_pipelines_table.php", "PHP", 2, 0, 0, 0, 0, 2
"z:\Projects\mstender\backend\database\migrations\2026_05_04_136114_create_leads_table.php", "PHP", -1, 0, 0, 0, 0, -1
"z:\Projects\mstender\backend\routes\api.php", "PHP", -6, 0, 0, 15, 8, 17
"z:\Projects\mstender\frontend\src\App.js", "JavaScript", 0, -104, 0, -18, -31, -153
"z:\Projects\mstender\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 92, 32, 31, 155
"z:\Projects\mstender\frontend\src\components\elements\Select.jsx", "JavaScript JSX", 0, 0, 35, 5, 13, 53
"z:\Projects\mstender\frontend\src\components\elements\SelectSearch.jsx", "JavaScript JSX", 0, 0, 49, 14, 49, 112
"z:\Projects\mstender\frontend\src\components\elements\Textarea.jsx", "JavaScript JSX", 0, 0, 56, 4, 17, 77
"z:\Projects\mstender\frontend\src\components\layout\Sidebar.jsx", "JavaScript JSX", 0, 0, -3, 3, 0, 0
"z:\Projects\mstender\frontend\src\components\layout\Topbar.jsx", "JavaScript JSX", 0, 0, -6, 7, -1, 0
"z:\Projects\mstender\frontend\src\components\tables\AddButton.jsx", "JavaScript JSX", 0, 0, 3, 0, 1, 4
"z:\Projects\mstender\frontend\src\components\tables\BadgeButton.jsx", "JavaScript JSX", 0, 0, 56, 15, 44, 115
"z:\Projects\mstender\frontend\src\components\tables\BulkAction.jsx", "JavaScript JSX", 0, 0, 65, -2, 20, 83
"z:\Projects\mstender\frontend\src\components\tables\ConfirmDialog.jsx", "JavaScript JSX", 0, 0, 53, 15, 27, 95
"z:\Projects\mstender\frontend\src\components\tables\FilterButton.jsx", "JavaScript JSX", 0, 0, 3, 2, 3, 8
"z:\Projects\mstender\frontend\src\components\tables\Pagination.jsx", "JavaScript JSX", 0, 0, 38, 10, 17, 65
"z:\Projects\mstender\frontend\src\components\wrappers\DeviceWrapper.jsx", "JavaScript JSX", 0, 0, 43, 19, 10, 72
"z:\Projects\mstender\frontend\src\index.js", "JavaScript", 0, 3, 0, 0, 0, 3
"z:\Projects\mstender\frontend\src\pages\auth\Login.jsx", "JavaScript JSX", 0, 0, 4, 0, 1, 5
"z:\Projects\mstender\frontend\src\pages\banks\BanksList.jsx", "JavaScript JSX", 0, 0, 109, 27, 131, 267
"z:\Projects\mstender\frontend\src\pages\banks\CreateBank.jsx", "JavaScript JSX", 0, 0, 37, 5, 33, 75
"z:\Projects\mstender\frontend\src\pages\banks\UpdateBank.jsx", "JavaScript JSX", 0, 0, 40, 13, 57, 110
"z:\Projects\mstender\frontend\src\pages\customers\CreateCustomer.jsx", "JavaScript JSX", 0, 0, 75, 23, 49, 147
"z:\Projects\mstender\frontend\src\pages\customers\CustomersList.jsx", "JavaScript JSX", 0, 0, 113, 21, 149, 283
"z:\Projects\mstender\frontend\src\pages\customers\UpdateCustomer.jsx", "JavaScript JSX", 0, 0, 11, 5, 20, 36
